# Rime user dictionary
#@/db_name	luna_pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	290
#@/user_id	Rime-Fcitx
an zhuang 	安裝	c=1 d=0.491644 t=290
ba 	把	c=1 d=0.470011 t=290
bao cun 	保存	c=1 d=0.574072 t=290
bei fen 	備份	c=4 d=1.91616 t=290
bi jiao 	比較	c=1 d=0.694197 t=290
bi xu 	必須	c=3 d=2.37262 t=290
bian ji qi 	編輯器	c=2 d=1.9605 t=290
bu ding 	補丁	c=1 d=0.980199 t=290
bu shu 	部署	c=5 d=2.83371 t=290
bu tong 	不同	c=2 d=1.33402 t=290
bu yi yang 	不一樣	c=2 d=1.29133 t=290
cha zhao 	查找	c=1 d=0.790571 t=290
cheng gong 	成功	c=1 d=0.985112 t=290
cheng wei 	稱爲	c=1 d=0.687289 t=290
chong xin 	重新	c=3 d=1.71198 t=290
ci dian 	詞典	c=6 d=4.61803 t=290
ci ku 	詞庫	c=6 d=4.07904 t=290
da 	大	c=1 d=0.67032 t=290
da ci ku 	大词库	c=1 d=0.637628 t=290
dan xiang 	單向	c=3 d=2.54074 t=290
dang 	當	c=1 d=0.477114 t=290
dao 	到	c=4 d=3.07276 t=290
dao ru 	導入	c=5 d=4.15101 t=290
de 	的	c=10 d=6.89649 t=290
du xiang 	獨享	c=1 d=0.927743 t=290
dui 	對	c=2 d=1.83724 t=290
er jin zhi 	二進制	c=1 d=0.767206 t=290
fang an 	方案	c=1 d=0.955997 t=290
fen wei 	分爲	c=1 d=0.802519 t=290
fou ze 	否則	c=1 d=0.965605 t=290
fu hao 	符號	c=1 d=0.995012 t=290
fu zhi 	複製	c=1 d=0.810584 t=290
fu zhi 	賦值	c=1 d=0.937067 t=290
ge ren 	個人	c=2 d=1.23201 t=290
ge shi 	格式	c=2 d=1.17397 t=290
gen ju 	根據	c=1 d=0.557106 t=290
gu zhi 	股指	c=2 d=1.32082 t=290
guan bi 	關閉	c=1 d=0.878095 t=290
hao 	好	c=1 d=0.980199 t=290
he 	和	c=4 d=3.22291 t=290
he shi 	合適	c=1 d=0.697676 t=290
hen xiao 	很小	c=1 d=0.729789 t=290
hou 	後	c=2 d=1.74583 t=290
hui 	會	c=3 d=2.12757 t=290
