# Rime user dictionary
#@/db_name	phrases_smp_all.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	22014
#@/user_id	Rime
a 	啊	c=120 d=1.46935 t=22014
a li 	阿里	c=3 d=8.17173e-08 t=22014
a li yun 	阿里雲	c=5 d=4.86226e-07 t=22014
a yi 	阿姨	c=1 d=6.2141e-12 t=22014
ai ren 	愛人	c=1 d=1 t=21932
ai te 	艾特	c=1 d=8.78993e-13 t=22014
ai yan 	礙眼	c=2 d=0.00427488 t=22014
ai yin si tan 	愛因斯坦	c=1 d=0.00615802 t=22014
an 	按	c=15 d=0.429557 t=22014
an 	暗	c=1 d=1.1145e-40 t=22014
an da 	安達	c=1 d=1.61828e-16 t=22014
an dao li 	按道理	c=1 d=3.55154e-28 t=22014
an jian 	按鍵	c=1 d=1 t=21853
an jing 	安靜	c=1 d=2.91727e-37 t=22014
an lian 	暗戀	c=0 d=9.81868e-22 t=22014
an lian wo 	暗戀我	c=1 d=9.8679e-21 t=22014
an niu 	按鈕	c=1 d=0.000542133 t=22014
an qi er 	安琪兒	c=2 d=0.14597 t=22014
an quan 	安全	c=21 d=0.0100344 t=22014
an wang 	暗往	c=1 d=1.0116e-18 t=22014
an wang 	暗網	c=3 d=2.06691e-11 t=22014
an zhao 	按照	c=9 d=0.0173355 t=22014
an zhu 	按住	c=1 d=5.7933e-20 t=22014
an zhuang 	安裝	c=72 d=0.0470717 t=22014
an zhuang qi 	安裝騎	c=1 d=1.36505e-14 t=22014
an zhuo 	安卓	c=1 d=1 t=21483
ao 	奧	c=1 d=4.54218e-28 t=22014
ao ao 	嗷嗷	c=1 d=2.99937e-40 t=22014
ba 	吧	c=109 d=1.27091 t=22014
ba 	把	c=30 d=0.333606 t=22014
ba 	拔	c=2 d=7.75046e-07 t=22014
ba chi 	把持	c=1 d=6.13128e-40 t=22014
ba gan zi da bu zhao 	八竿子打不着	c=1 d=1.46907e-25 t=22014
ba gua 	八卦	c=3 d=0.0692628 t=22014
ba qi 	霸氣	c=2 d=0.00524752 t=22014
ba wa 	把瓦	c=0 d=5.86068e-10 t=22014
ba wa gong 	把瓦公	c=1 d=5.89006e-09 t=22014
ba zi 	八字	c=0 d=2.77414e-05 t=22014
ba zi nai 	八字乃	c=1 d=0.000278804 t=22014
bai 	拜	c=1 d=1 t=20470
bai 	白	c=0 d=1.27914e-15 t=22014
bai du 	百度	c=8 d=0.000125903 t=22014
bai fen bi 	百分比	c=2 d=1.31664 t=21704
bai ke 	百科	c=1 d=4.3755e-12 t=22014
bai lou 	百漏	c=1 d=1 t=20434
