# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	1444
#@/user_id	fcitx-rime
a 	啊	c=3 d=0.432287 t=1444
an 	安	c=1 d=0.00159641 t=1444
an han 	暗含	c=1 d=0.0197421 t=1444
an quan 	安全	c=1 d=0.000871757 t=1444
an zhuang 	安裝	c=8 d=1.20941 t=1444
ba jin zhi 	八進制	c=1 d=0.00098783 t=1444
bai du 	百堵	c=1 d=0.254107 t=1444
bai qi 	白起	c=1 d=0.00207043 t=1444
ban 	版	c=1 d=0.00539362 t=1444
ban 	辦	c=0 d=0.000114769 t=1444
ban ben 	版本	c=1 d=0.895834 t=1444
ban di 	班底	c=1 d=0.00687406 t=1444
ban fa 	辦法	c=1 d=0.00481991 t=1444
ban sui 	伴隨	c=1 d=0.00166156 t=1444
ban wa gong 	辦瓦工	c=1 d=0.00115345 t=1444
bao 	包	c=6 d=0.4551 t=1444
bao 	鮑	c=2 d=0.00334917 t=1444
bao guo an 	鮑國安	c=2 d=0.00339972 t=1444
bao han 	包含	c=1 d=0.021068 t=1444
bao shi 	保溼	c=10 d=0.412389 t=1444
bao wei 	保衛	c=1 d=0.000884932 t=1444
bao wei zhan 	保衛戰	c=0 d=8.93825e-05 t=1444
bao zhi 	報紙	c=2 d=0.00734161 t=1444
bei fang 	北方	c=1 d=0.0672055 t=1444
bei fen 	備份	c=1 d=0.0104099 t=1444
bei gao 	被告	c=1 d=0.00362464 t=1444
ben 	本	c=1 d=0.941765 t=1444
ben shen 	本身	c=1 d=0.106459 t=1444
ben zhan 	本站	c=1 d=0.00209124 t=1444
bi 	比	c=4 d=0.497714 t=1444
bi 	逼	c=2 d=0.994963 t=1444
bi jiao 	比較	c=4 d=0.717806 t=1444
bi jiao hao 	比較好	c=1 d=0.00151098 t=1444
bi mian 	避免	c=2 d=0.132252 t=1444
bi xu 	必須	c=2 d=0.0117755 t=1444
bi yao shi 	必要時	c=1 d=0.371577 t=1444
bian chu 	卞楚	c=1 d=0.0023935 t=1444
bian hao 	編號	c=1 d=0.67368 t=1444
bian hua 	變化	c=1 d=0.0135009 t=1444
bian shi 	便是	c=1 d=0.71177 t=1444
bian xie 	編寫	c=1 d=0.0439369 t=1444
bian yi 	編譯	c=3 d=1.22889 t=1444
biao ge 	表格	c=2 d=0.701629 t=1444
biao shi 	表示	c=0 d=0.0715338 t=1444
biao shi yong 	表示用	c=1 d=0.718924 t=1444
bing mei you 	並沒有	c=1 d=0.106992 t=1444
bo bo 	薄薄	c=1 d=0.143704 t=1444
bu 	不	c=4 d=0.75778 t=1444
bu bian 	不變	c=1 d=0.00130051 t=1444
bu chong 	補充	c=3 d=0.761512 t=1444
bu cun zai 	不存在	c=1 d=0.0383884 t=1444
bu da 	不大	c=0 d=0.000571306 t=1444
bu ding 	補丁	c=1 d=0.00100276 t=1444
bu fen 	部分	c=1 d=0.0146253 t=1444
bu guo shi 	不過是	c=1 d=0.278037 t=1444
bu hao 	不好	c=1 d=0.0746459 t=1444
